fcode,fname,incdate
007622.OF,中欧滚利一年滚动持有A,2019-11-27
007624.OF,华安年年丰A,2019-08-21
007640.OF,泰达宏利永利,2019-09-04
007641.OF,泰达宏利鑫利半年定开A,2019-08-16
007644.OF,华宝宝润纯债,2019-10-17
007645.OF,平安季享裕定开A,2019-09-04
007659.OF,博时富汇纯债3个月定开,2019-08-16
007670.OF,嘉实商业银行精选,2019-11-19
007676.OF,蜂巢添汇纯债A,2019-08-12
007680.OF,中加享利三年定开,2019-08-29
007681.OF,鹏华丰登,2019-08-14
007682.OF,鹏华锦利两年定开,2019-09-04
007683.OF,华商转债精选A,2020-09-29
007691.OF,永赢泽利一年定开,2020-08-24
007692.OF,永赢鼎利A,2020-09-18
007699.OF,建信荣禧一年定开债,2019-12-13
007701.OF,国联安6个月A,2019-09-06
007703.OF,万家鑫盛纯债A,2019-08-09
007706.OF,南方聪元A,2019-09-02
007710.OF,格林泓泰三个月定开A,2019-09-26
007712.OF,中银康享3个月定开,2019-08-26
007714.OF,南方贺元利率债A,2019-08-30
007716.OF,嘉实致华纯债,2019-11-07
007719.OF,永赢元利A,2020-02-28
007723.OF,鹏华锦润86个月定开,2020-07-22
007736.OF,民生加银聚鑫三年定开,2019-09-04
007738.OF,淳厚稳惠债券A,2019-11-20
007740.OF,天弘信益A,2019-08-23
007744.OF,长盛安逸纯债A,2020-01-20
007756.OF,财通久利三个月定开,2019-09-06
007757.OF,国投瑞银顺业纯债,2019-12-26
007758.OF,平安乐享一年定开A,2019-09-04
007761.OF,鑫元安睿三年定开债,2019-08-26
007767.OF,华泰保兴尊享三个月定开,2019-09-02
007768.OF,信达澳银安盛纯债,2019-12-26
007769.OF,东兴兴瑞一年定开,2019-09-06
007772.OF,浦银安盛盛煊3个月定开债,2019-08-07
007778.OF,广发景富纯债,2019-10-24
007830.OF,建信荣瑞一年定开,2019-11-20
007836.OF,泰康润和两年定开债,2019-12-25
007837.OF,国寿安保尊耀纯债A,2019-10-22
007852.OF,工银瑞安3个月定开债,2019-12-25
007859.OF,平安5-10年期政策性金融债A,2019-11-21
007867.OF,华泰柏瑞锦泰一年定开,2019-09-17
007870.OF,鹏华尊信3个月,2019-08-29
007871.OF,国泰惠享三个月定开,2019-12-06
007877.OF,惠升和风纯债A,2019-10-29
007888.OF,农银汇理金盈,2019-09-17
007889.OF,浦银安盛盛诺3个月定开债,2019-09-10
007890.OF,银河聚星两年定开,2019-12-18
007908.OF,招商添韵3个月定开A,2019-11-06
007913.OF,财通资管丰和两年定开债A,2019-12-04
007928.OF,中加享润两年定期开放,2019-11-29
007930.OF,淳厚稳鑫A,2020-06-30
007935.OF,平安惠澜纯债A,2019-12-11
007941.OF,恒生前海恒扬纯债A,2019-12-04
007948.OF,汇添富盛安39个月定开,2019-09-24
007949.OF,富国泽利纯债,2020-03-10
007953.OF,平安惠文纯债,2019-12-17
007954.OF,平安惠涌纯债,2019-12-16
007957.OF,华宝宝惠39个月定开债,2019-11-08
007958.OF,华泰柏瑞益通三个月定开债,2019-11-15
007967.OF,大成惠嘉一年,2019-12-09
007970.OF,国寿安保安泽39个月定开,2019-11-13
007979.OF,万家惠享39个月定开债,2019-11-28
007981.OF,红塔红土瑞祥纯债A,2019-12-30
007985.OF,博时富悦纯债,2019-11-28
007986.OF,嘉实致禄3个月定开,2019-12-04
007987.OF,鹏华丰庆,2019-10-17
007988.OF,融通通恒63个月定开A,2020-08-07
007990.OF,富国汇远三年定开债A,2019-11-26
007996.OF,博时富顺纯债,2019-10-31
007997.OF,易方达年年恒秋纯债一年定开A,2019-10-31
007999.OF,国联安恒利63个月定期开放A,2019-11-07
008002.OF,银华稳晟39个月定开,2019-11-05
008003.OF,大成通嘉三年定开A,2019-11-25
008007.OF,安信睿享纯债,2020-01-08
008012.OF,前海联合淳丰87个月定开债A,2020-08-26
008014.OF,天弘鑫利三年定开债,2019-11-29
008017.OF,国泰惠信三年定开,2019-10-31
008018.OF,华富安兴39个月定开债A,2019-10-31
008027.OF,工银泰和39个月定开A,2020-07-08
008028.OF,申万菱信安泰广利63个月定开,2020-10-21
008030.OF,农银汇理金益,2019-11-14
008031.OF,创金合信汇嘉三个月定开,2019-12-09
008032.OF,海富通裕昇三年定开债,2020-04-09
008039.OF,南方创利3个月定开债,2020-01-02
008040.OF,鹏华0-5年利率债,2019-12-20
008046.OF,中融睿嘉39个月定开A,2019-11-26
008048.OF,中融睿享86个月定期开放A,2019-10-31
008064.OF,建信睿信三个月定开债,2019-12-31
008081.OF,汇添富鑫远,2019-12-04
008102.OF,中金鑫福87个月定开,2020-08-03
008104.OF,中金鑫裕1年定开A,2019-12-18
008111.OF,银华信用精选18个月,2020-02-20
008117.OF,博时稳欣39个月定开债,2019-11-19
008118.OF,嘉实民企精选一年定开债,2019-12-04
008130.OF,广发汇优66个月定开,2019-12-05
008139.OF,鑫元一年定开中高等,2020-03-18
008146.OF,中银添瑞6个月定开债A,2019-12-26
008160.OF,前海联合淳安3年定开债券,2019-11-26
008161.OF,广发汇达纯债3个月定开债,2020-02-17
008165.OF,东兴鑫远三年定开,2020-04-15
008170.OF,博时富添纯债,2019-11-20
008171.OF,长城嘉裕六个月定开债A,2019-12-19
008202.OF,中银恒裕9个月A,2019-12-20
008206.OF,国泰聚瑞纯债,2020-04-29
008207.OF,国泰合融纯债,2019-12-26
008211.OF,银华永盛,2020-03-05
008214.OF,华安鑫福定开债A,2019-11-26
008217.OF,国泰聚盈三年定开,2019-12-26
008219.OF,西部利得尊逸三年定开债,2019-12-05
008223.OF,交银裕泰两年定期开放,2019-12-10
008226.OF,南方远利3个月定开债,2019-12-20
008229.OF,鑫元安硕两年定开债,2020-07-31
008231.OF,海富通裕通30个月定开债,2019-12-20
008232.OF,中银恒优12个月A,2020-04-29
008242.OF,英大通盈A,2019-12-25
008255.OF,西部利得沣泰,2019-11-27
008266.OF,华夏鼎明A,2020-05-13
008268.OF,国泰添瑞一年定开债,2019-12-11
008278.OF,国泰惠鑫一年定开债,2019-12-27
008287.OF,长城嘉鑫定开债A,2019-12-12
008289.OF,国寿安保泰祥纯债一年定开债,2020-04-26
008296.OF,广发汇利一年定开债,2019-12-26
008302.OF,永赢易弘,2020-03-23
008309.OF,长城泰丰纯债A,2020-07-27
008322.OF,东方卓行18个月定开A,2019-12-27
008333.OF,景顺长城弘利39个月定开,2019-12-24
008338.OF,嘉实安元39个月定开纯债A,2019-12-09
008344.OF,建信睿阳一年定开,2019-12-23
008349.OF,华夏恒泰64个月定开债,2019-12-20
008352.OF,交银施罗德裕坤纯债,2019-12-26
008355.OF,农银金祺定开债,2019-12-27
008360.OF,鹏扬淳选一年定开,2020-08-26
008361.OF,南方招利一年定开,2020-05-28
008362.OF,广发汇成一年定开债,2020-01-21
008363.OF,广发民丰一年定开,2020-08-07
008366.OF,广发汇明一年定开,2020-08-07
008369.OF,蜂巢丰鑫纯债一年定开债,2020-03-10
008386.OF,前海联合泓旭定开债,2020-07-23
008394.OF,方正富邦恒利A,2020-06-09
008398.OF,汇添富鑫福,2020-03-30
008406.OF,兴银汇裕一年定开,2019-12-12
008409.OF,景顺长城景泰裕利纯债,2020-04-29
008411.OF,博时富信纯债,2020-03-05
008414.OF,国泰惠泰一年定开,2020-06-01
008426.OF,华安安敦A,2020-04-17
008428.OF,东方红鑫裕两年定开,2020-01-17
008429.OF,中信保诚嘉裕五年定开债,2019-12-24
008452.OF,兴全恒鑫A,2020-01-20
008458.OF,招商安锦A,2020-08-18
008460.OF,招商招和39个月定开债,2019-12-25
008463.OF,招商添瑞1年定开债A,2020-04-26
008465.OF,蜂巢添益A,2020-08-13
008471.OF,工银泰颐三年定开A,2019-12-27
008473.OF,招商招阳纯债A,2020-07-29
008478.OF,天弘鑫意39个月定开债,2020-07-02
008484.OF,格林泓裕一年定开债A,2020-03-26
008486.OF,德邦德瑞一年定开债,2019-12-13
008487.OF,中信建投稳悦一年定开债,2019-12-30
008489.OF,华商鸿畅39个月定开A,2020-09-25
008493.OF,鹏华尊泰一年定开债,2019-12-25
008495.OF,景顺长城景泰添利一年定开,2020-08-11
008496.OF,国泰惠瑞一年定开,2020-08-17
008503.OF,国寿安保泰瑞纯债一年定开债,2019-12-26
008508.OF,中融聚锦一年定开,2020-07-03
008509.OF,南方得利一年定开,2020-03-26
008510.OF,南方鼎利一年定开债,2020-02-27
008511.OF,宝盈鸿盛A,2020-02-26
008516.OF,浦银安盛盛熙一年定开,2020-03-30
008517.OF,兴业嘉华一年定开债,2020-05-27
008521.OF,富国汇优纯债63个月定开,2020-01-13
008523.OF,安信丰泽39个月定开债,2020-03-05
008535.OF,兴银合盛三年定开债A,2020-03-16
008539.OF,工银开元利率债A,2020-03-05
008558.OF,永赢邦利A,2020-07-13
008560.OF,中邮淳悦39个月定开A,2020-07-31
008566.OF,蜂巢添盈A,2020-01-08
008568.OF,蜂巢丰业纯债一年定开债,2019-12-26
008571.OF,金信民达纯债A,2020-06-11
008573.OF,融通通远三个月定开债,2020-06-12
008575.OF,财通裕惠63个月定开债,2020-02-25
008580.OF,九泰久嘉纯债3个月定开A,2020-08-21
008582.OF,兴银聚丰,2020-01-10
008594.OF,平安合润1年定开债,2019-12-25
008595.OF,平安惠智,2020-04-24
008596.OF,平安乐顺39个月定开债A,2019-12-25
008606.OF,广发汇择一年定开债A,2020-02-07
008608.OF,广发汇浦三年,2020-07-15
008612.OF,国投瑞银顺恒纯债,2020-08-24
008613.OF,浙商汇金安享66个月定开A,2020-09-23
008615.OF,浙商汇金聚泓两年定开A,2020-10-30
008620.OF,嘉实致宁3个月定开,2020-03-06
008624.OF,汇安裕鑫12个月定开,2020-07-15
008628.OF,大成惠享一年定开债,2020-08-17
008636.OF,前海联合泰瑞纯债A,2020-08-13
008637.OF,国金惠享一年定开,2020-08-13
008642.OF,国金惠远纯债A,2020-05-14
008644.OF,天弘季季兴三个月定开债A,2019-12-17
008648.OF,嘉实致业一年定开,2020-09-02
008649.OF,华泰柏瑞锦兴39个月定开债,2020-01-20
008650.OF,华泰柏瑞益商一年定开,2020-01-20
008651.OF,博时富进一年定开,2019-12-19
008654.OF,诺德汇盈一年定开,2020-02-17
008661.OF,嘉实致融一年定开,2019-12-25
008662.OF,中银澳享一年定开,2020-03-06
008663.OF,中银同享一年定开,2020-03-27
008668.OF,西部利得双盈一年定开债,2020-03-25
008669.OF,方正富邦禾利39个月定开A,2020-09-25
008674.OF,博时稳悦63个月定开债,2020-01-13
008675.OF,华安鑫浦87个月定开债A,2020-01-10
008678.OF,财通兴利纯债12个月定开,2019-12-24
008684.OF,宝盈盈旭A,2020-07-15
008688.OF,大成景乐纯债A,2020-02-28
008690.OF,平安增利六个月定开债A,2020-03-05
008693.OF,民生加银聚享39个月定开债,2020-01-17
008698.OF,前海联合泳嘉A,2020-05-21
008700.OF,泰康瑞丰纯债3个月定开,2020-06-08
008710.OF,宝盈盈顺纯债A,2020-01-21
008717.OF,德邦锐恒39个月定开债A,2020-03-18
008721.OF,华商鸿益一年定开,2020-06-08
008722.OF,永赢欣益一年定开债,2020-08-06
008724.OF,泓德裕瑞三年定开,2020-05-22
008728.OF,同泰恒利纯债A,2020-02-18
008730.OF,天弘纯享一年定开,2020-03-25
008731.OF,招商添浩A,2020-09-10
008738.OF,天弘兴享一年定开债,2020-05-22
008739.OF,中欧同益一年定开债,2019-12-31
008740.OF,国寿安保尊盛双债A,2020-03-18
008745.OF,南方尊利一年定开债,2020-02-26
008746.OF,财通多利,2020-09-09
008747.OF,大成景泰A,2020-02-27
008756.OF,民生加银瑞夏一年定开债,2020-04-23
008759.OF,上投摩根瑞泰38个月定开债A,2020-03-18
008762.OF,天弘恒享一年定开债,2020-03-18
008765.OF,中加瑞享纯债,2020-03-13
008766.OF,财通资管鸿盛12个月A,2020-06-05
008771.OF,南方昭元A,2020-06-12
008780.OF,南方宁利一年定开债,2020-01-15
008785.OF,中加博裕纯债,2020-08-20
008796.OF,中融恒安纯债A,2020-03-30
008798.OF,国金惠安利率债A,2020-03-05
008802.OF,浦银安盛盛晖一年定开,2020-03-26
008803.OF,海富通瑞弘6个月定开,2020-05-13
008804.OF,招商添华A,2020-07-16
008806.OF,鑫元锦利一年定开债,2020-01-15
008807.OF,鹏扬淳悦一年定开债,2020-02-27
008818.OF,汇安恒鑫12个月定开,2020-09-18
008824.OF,民生加银瑞鑫一年定开,2020-09-07
008825.OF,民生加银瑞盈纯债一年定开,2020-08-21
008826.OF,天弘成享一年定开,2020-06-23
008829.OF,博时富洋纯债一年定开债,2020-01-15
008852.OF,人保鑫选双债A,2020-06-24
008857.OF,华夏鼎航A,2020-07-03
008862.OF,中银证券汇远一年定开,2020-05-22
008863.OF,中银证券汇兴一年定开,2020-07-24
008868.OF,民生加银嘉益,2020-08-14
008873.OF,国寿安保尊诚纯债A,2020-04-21
008875.OF,国寿安保尊恒利率债A,2020-05-21
008877.OF,国联安增盛一年定开纯债,2020-08-14
008880.OF,国联安增顺纯债A,2020-08-20
008882.OF,国联安增祺纯债A,2020-05-28
008896.OF,兴业鼎泰一年定开债,2020-02-28
008900.OF,国联安增泰一年定开,2020-08-21
008902.OF,国寿安保泰吉纯债一年定开,2020-03-16
008904.OF,华安安腾一年定开债,2020-04-22
008921.OF,国泰聚鑫纯债,2020-04-23
008925.OF,鹏华尊达一年定开,2020-05-20
008937.OF,诺德安盈纯债,2020-05-25
008938.OF,大成惠兴一年定开,2020-06-22
008951.OF,鹏华尊裕一年定开债,2020-02-27
008952.OF,中信建投桂企债A,2020-06-04
008968.OF,申万菱信安泰鼎利一年定开债,2020-02-27
008982.OF,华泰紫金智鑫3个月定开,2020-02-26
008993.OF,汇添富多策略A,2020-04-01
008995.OF,中银证券安沛A,2020-05-13
009001.OF,长城泰利纯债A,2020-02-25
009018.OF,西部利得聚泰18个月定开债A,2020-03-25
009021.OF,鹏华丰诚A,2020-03-25
009037.OF,浦银安盛普庆纯债A,2020-08-20
009041.OF,浦银安盛普天纯债A,2020-08-20
009044.OF,浦银安盛盛毅一年定开,2020-09-17
009045.OF,浦银安盛盛智一年定开,2020-03-26
009050.OF,易方达恒裕一年定开,2020-03-12
009053.OF,平安合庆1年定开,2020-06-19
009081.OF,中信保诚嘉丰一年定开,2020-03-13
009082.OF,华夏鼎佳A,2020-04-21
009084.OF,申万菱信安泰鑫利纯债一年定开债,2020-03-18
009091.OF,兴银汇悦一年定开债,2020-03-10
009105.OF,兴业嘉荣一年定开,2020-08-27
009118.OF,太平恒睿纯债,2020-03-12
009148.OF,平安合聚1年定开债,2020-03-30
009166.OF,平安合享1年定开债,2020-04-26
009167.OF,博时富灿一年定开,2020-03-26
009173.OF,招商湖北省主题,2020-03-30
009177.OF,东方永悦18个月定开A,2020-05-09
009203.OF,鹏扬稳利A,2020-10-28
009207.OF,兴银汇智一年定开,2020-06-19
009212.OF,易方达恒茂39个月定期,2020-07-16
009227.OF,平安增鑫六个月定开债A,2020-05-09
009235.OF,景顺长城弘远66个月定开,2020-07-16
009237.OF,兴业绿色纯债一年定开A,2020-07-17
009252.OF,蜂巢添元A,2020-09-24
009254.OF,蜂巢添禧87个月定开债,2020-08-05
009255.OF,中银添盛39个月定开,2020-07-08
009256.OF,民生加银鑫通,2020-04-15
009271.OF,博时信用优选A,2020-05-22
009278.OF,同泰恒兴纯债A,2020-05-18
009282.OF,宝盈盈辉纯债A,2020-05-21
009284.OF,上银慧丰利,2020-04-22
009287.OF,惠升和裕纯债A,2020-04-27
009289.OF,富国长江经济带,2020-05-09
009292.OF,易方达年年恒春纯债一年定开债A,2020-04-27
009294.OF,嘉实致益纯债,2020-05-14
009295.OF,民生加银睿智一年定开债,2020-04-29
009298.OF,英大安惠纯债A,2020-04-29
009303.OF,恒生前海恒颐五年定开A,2020-11-02
009306.OF,平安惠铭纯债,2020-09-07
009323.OF,博时富通一年定开,2020-04-26
009338.OF,万家民瑞祥和6个月持有A,2020-05-21
009343.OF,泰康长江经济带A,2020-06-24
009349.OF,前海联合添泽A,2020-06-04
009386.OF,创金合信泰享39个月定开,2020-07-31
009399.OF,华融雄安建设发展三年定开,2020-07-01
009407.OF,格林泓远A,2020-06-11
009417.OF,国投瑞银顺荣39个月定开A,2020-08-13
009444.OF,国泰添福一年定开,2020-08-03
009450.OF,中金新辉1年定开,2020-06-19
009451.OF,中金新盛1年定开,2020-07-03
009452.OF,光大保德信尊裕纯债一年定开,2020-09-17
009453.OF,平安合兴1年定开债,2020-06-24
009457.OF,红土创新纯债A,2020-09-07
009461.OF,东方臻萃3个月定开债A,2020-05-21
009463.OF,东方臻慧A,2020-05-21
009483.OF,鹏华普利A,2020-06-11
009495.OF,大成景轩中高等级A,2020-09-01
009506.OF,富荣富恒两年定开,2020-09-11
009509.OF,平安惠润,2020-07-16
009510.OF,天弘同利E,2020-05-22
009523.OF,宝盈聚福39个月定开A,2020-08-28
009533.OF,太平恒泽63个月定开,2020-08-07
009543.OF,申万菱信安泰富利三年定开A,2020-07-29
009552.OF,财通资管丰乾39个月定开A,2020-08-24
009561.OF,博时富盛一年定开,2020-07-16
009567.OF,山西证券裕丰一年定开,2020-06-11
009577.OF,上银聚永益一年定开债,2020-06-12
009578.OF,上银聚德益一年定开债,2020-06-16
009579.OF,东方红鑫安39个月定开,2020-08-31
009583.OF,淳厚安裕87个月定开,2020-07-31
009584.OF,华富63个月定开,2020-08-04
009585.OF,中信建投稳丰63个月,2020-07-28
009587.OF,国寿安保瑞和66个月定开,2020-06-28
009599.OF,嘉实致嘉,2020-07-13
009600.OF,嘉实安泽一年定开,2020-09-07
009605.OF,安信永顺一年定开债,2020-08-28
009632.OF,浦银安盛普嘉87个月定开A,2020-06-24
009642.OF,富国荣利一年定开,2020-09-07
009643.OF,嘉实致信一年定开,2020-06-22
009666.OF,兴全恒祥88个月定开,2020-08-03
009670.OF,东方红益丰纯债,2020-07-21
009673.OF,嘉合慧康63个月定开A,2020-08-04
009679.OF,浙商惠隆39个月定开,2020-09-10
009685.OF,景顺长城景泰宝利一年定开,2020-11-02
009699.OF,长信浦瑞87个月定开,2020-08-10
009711.OF,招商添盛78个月定开债,2020-07-23
009732.OF,兴业稳泰66个月定开,2020-07-17
009738.OF,格林泓安63个月定开,2020-11-02
009748.OF,汇丰晋信惠安纯债63个月定开,2020-10-29
009749.OF,西部利得尊泰86个月定开,2020-07-29
009756.OF,华宝宝利,2020-07-09
009759.OF,鹏扬淳安66个月A,2020-07-21
009761.OF,光大保德信尊合87个月定开,2020-08-03
009765.OF,惠升和煦88个月定开,2020-09-02
009770.OF,英大安鑫66个月,2020-09-24
009780.OF,德邦锐泽86个月定开,2020-07-30
009784.OF,安信尊享添利A,2020-08-24
009788.OF,前海开源惠泽两年定开,2020-07-07
009792.OF,工银瑞益A,2020-09-27
009799.OF,中银证券安汇三年定开,2020-09-01
009802.OF,东海祥泰三年定开,2020-07-24
009809.OF,易方达恒智63个月定开,2020-07-24
009814.OF,泰达宏利乐盈66个月A,2020-07-31
009833.OF,创金合信泰博66个月,2020-07-27
009834.OF,东方红鑫泰66个月定开债,2020-07-24
009839.OF,国金惠丰39个月定开,2020-08-06
009844.OF,华泰紫金丰安27个月定开A,2020-09-24
009851.OF,上银聚远盈42个月定开,2020-07-22
009866.OF,永赢瑞宁87个月定开债,2020-07-23
009889.OF,华润元大润禧39个月定开A,2020-08-24
009894.OF,前海开源惠盈39个月定开,2020-08-24
009895.OF,上投摩根瑞盛87个月定开,2020-08-03
009906.OF,诺德安瑞39个月定开,2020-08-26
009915.OF,兴银合富,2020-08-13
009920.OF,鹏华年年红一年持有期A,2020-08-24
009922.OF,华夏鼎富A,2020-10-21
009933.OF,浦银安盛普华66个月定开A,2020-08-10
009953.OF,华泰柏瑞锦乾,2020-10-30
009979.OF,新华安享惠融88个月定开A,2020-10-20
010083.OF,中银欣享利率债,2020-10-16
010223.OF,博时双季享六个月持有A,2020-10-13
010463.OF,鹏扬淳稳66个月定开A,2020-10-29
040026.OF,华安信用四季红A,2011-12-08
040040.OF,华安纯债A,2013-02-05
050027.OF,博时信用债纯债A,2012-09-07
050028.OF,博时安心收益A,2012-12-06
070037.OF,嘉实纯债A,2012-12-11
091023.OF,大成安汇金融A,2020-08-04
100058.OF,富国产业债A,2011-12-05
100066.OF,富国纯债AB,2012-11-22
100072.OF,富国强回报A,2013-01-29
110037.OF,易方达纯债A,2012-05-03
160128.OF,南方金利A,2012-05-17
160131.OF,南方聚利1年A,2013-11-28
160217.OF,国泰信用互利A,2020-03-19
160515.OF,博时安丰18个月A,2013-08-22
160618.OF,鹏华丰泽,2014-12-08
160622.OF,鹏华丰利,2016-04-25
161014.OF,富国汇利回报两年定开,2017-12-11
161019.OF,富国新天锋,2012-05-07
161117.OF,易方达永旭添利,2012-06-19
161603.OF,融通债券AB,2003-09-30
161618.OF,融通岁岁添利A,2012-11-06
161820.OF,银华纯债信用主题,2012-08-09
161823.OF,银华永兴A,2016-01-18
161911.OF,万家强化收益,2013-05-07
162108.OF,金鹰元盛C,2015-05-04
162715.OF,广发聚源A,2013-05-08
163210.OF,诺安纯债A,2013-03-27
163824.OF,中银盛利纯债一年,2013-08-08
163825.OF,中银互利定期开放,2017-11-09
163907.OF,中海惠裕纯债,2016-01-08
164210.OF,天弘同利C,2016-09-19
164509.OF,国富恒利A,2017-03-10
164703.OF,汇添富纯债,2016-11-07
164810.OF,工银瑞信纯债,2012-06-21
166012.OF,中欧信用增利C,2015-04-20
166016.OF,中欧纯债C,2016-02-02
166803.OF,浙商惠民A,2020-04-29
166902.OF,民生加银平稳增利A,2012-11-15
166904.OF,民生加银平稳添利A,2013-08-12
202108.OF,南方润元纯债AB,2012-07-20
206015.OF,鹏华纯债,2012-09-03
206018.OF,鹏华产业债,2013-02-06
217003.OF,招商安泰债券A,2003-04-28
261002.OF,景顺长城优信增利A,2012-03-15
270044.OF,广发双债添利A,2012-09-20
270046.OF,广发景荣,2020-09-25
270048.OF,广发纯债A,2012-12-12
360019.OF,光大添天盈五年定开债,2020-03-09
371020.OF,上投摩根纯债A,2009-06-24
380005.OF,中银纯债A,2012-12-12
380010.OF,中银聚享A,2020-09-21
400030.OF,东方添益,2014-12-15
450018.OF,国富恒久信用A,2012-09-11
460008.OF,华泰柏瑞稳健收益A,2012-12-04
470030.OF,汇添富鑫禧,2020-08-19
472007.OF,汇添富利率债,2020-10-30
485119.OF,工银瑞信信用纯债A,2012-11-14
501100.OF,博时安康18个月定开,2017-02-17
519061.OF,海富通纯债A,2014-04-02
519118.OF,浦银安盛幸福回报A,2012-09-18
519121.OF,浦银安盛6个月A,2013-05-16
519123.OF,浦银安盛季季添利A,2013-06-14
519128.OF,浦银安盛月月盈A,2014-12-05
519137.OF,海富通瑞福,2017-07-28
519138.OF,海富通瑞祥一年定开,2017-07-28
519152.OF,新华纯债添利A,2012-12-21
519160.OF,新华安享惠金A,2013-11-13
519188.OF,万家信用恒利A,2012-09-21
519206.OF,万家年年恒荣定开A,2016-11-15
519208.OF,万家3-5年政策性金融债A,2016-09-18
519220.OF,海富通聚利纯债,2016-09-22
519225.OF,海富通集利,2016-09-29
519226.OF,海富通瑞利,2017-02-16
519320.OF,浦银安盛幸福聚利A,2016-05-04
519322.OF,浦银安盛盛元定开A,2016-07-22
519324.OF,浦银安盛盛鑫A,2016-07-11
519326.OF,浦银安盛幸福聚益A,2016-11-17
519328.OF,浦银安盛盛泰A,2016-11-11
519330.OF,浦银安盛盛跃纯债A,2017-03-21
519332.OF,浦银安盛盛达纯债A,2016-12-19
519334.OF,浦银安盛盛勤3个月定开A,2017-04-19
519622.OF,银河君怡纯债,2016-12-27
519632.OF,银河君辉3个月,2017-04-20
519648.OF,银河泰利I,2015-11-18
519654.OF,银河丰利,2017-04-14
519662.OF,银河久益回报6个月定开A,2013-08-09
519669.OF,银河领先债券,2012-11-29
519675.OF,银河泰利A,2014-08-06
519717.OF,交银中高等级信用债,2020-07-28
519718.OF,交银纯债AB,2012-12-19
519722.OF,交银裕惠纯债,2020-07-28
519723.OF,交银双轮动AB,2013-04-18
519740.OF,交银丰盈收益A,2014-08-11
519743.OF,交银丰润收益A,2014-12-15
519746.OF,交银丰享收益A,2017-01-20
519762.OF,交银裕通纯债A,2015-12-29
519776.OF,交银裕盈纯债A,2016-11-04
519782.OF,交银裕隆纯债A,2016-11-28
519784.OF,交银境尚收益A,2017-03-03
519786.OF,交银裕利纯债A,2016-11-23
519941.OF,长信富全纯债一年A,2016-03-09
519943.OF,长信利率债A,2016-07-21
519945.OF,长信富安纯债半年A,2015-11-23
519973.OF,长信纯债一年A,2013-11-29
519985.OF,长信纯债壹号A,2010-06-28
530021.OF,建信纯债A,2012-11-15
530029.OF,建信荣元一年定开,2020-05-07
550012.OF,中信保诚景华A,2020-03-03
550018.OF,信诚优质纯债A,2013-02-07
590009.OF,中邮稳定收益A,2012-11-21
620009.OF,金元顺安丰祥,2015-01-14
650001.OF,英大纯债A,2013-04-24
660016.OF,农银汇理金聚高等级债,2020-06-29
675041.OF,西部利得合享A,2016-08-25
675051.OF,西部利得合赢A,2016-09-09
675091.OF,西部利得祥逸A,2017-03-10
675100.OF,西部利得得尊A,2017-03-01
675111.OF,西部利得汇享A,2017-03-10
675161.OF,西部利得汇盈A,2018-03-26
686868.OF,浙商聚盈纯债A,2012-09-18
690012.OF,民生加银丰鑫,2020-03-03
700005.OF,平安添利A,2012-11-27
750002.OF,安信目标收益A,2012-09-25
