fcode,fname,incdate
002342.OF,融通增益AB,2016-05-11
002354.OF,博时裕腾,2016-01-18
002356.OF,博时安泰18个月A,2016-02-04
002377.OF,建信睿怡纯债,2016-02-22
002381.OF,东海祥瑞A,2016-03-24
002395.OF,鹏华丰尚A,2016-03-22
002438.OF,创金合信尊盛,2016-02-26
002442.OF,鑫元汇利,2016-03-09
002445.OF,兴业丰泰,2016-02-25
002447.OF,博时裕安一年定开债,2016-03-04
002448.OF,江信汇福,2016-05-05
002452.OF,民生加银和鑫定开,2016-03-23
002466.OF,博时裕新纯债,2016-03-30
002476.OF,博时安瑞18个月A,2016-03-30
002483.OF,富国泰利,2016-05-11
002486.OF,上银慧添利,2016-03-16
002487.OF,汇添富稳健添利A,2016-03-16
002490.OF,金鹰元祺信用债,2016-04-06
002491.OF,银华添益,2016-03-22
002519.OF,博时裕景纯债,2016-04-28
002523.OF,光大恒利纯债,2016-09-02
002524.OF,兴业福益,2016-03-18
002528.OF,泰康安益纯债A,2016-08-30
002548.OF,嘉实稳瑞纯债,2016-03-18
002549.OF,嘉实稳祥纯债A,2016-03-18
002550.OF,嘉实稳荣,2016-12-02
002552.OF,华夏恒利3个月定开,2016-03-29
002568.OF,博时裕发纯债,2016-04-06
002569.OF,博时裕弘纯债,2016-06-17
002578.OF,博时裕泉纯债,2016-09-07
002586.OF,金鹰添利中长期信用债A,2017-02-22
002591.OF,中欧信用增利E,2016-04-06
002592.OF,中欧纯债E,2016-04-06
002600.OF,易方达裕景添利6个月,2016-04-12
002603.OF,工银瑞信瑞丰定开,2016-04-22
002625.OF,博时安怡6个月,2016-04-15
002635.OF,融通增鑫,2016-05-05
002638.OF,兴业天融,2016-04-21
002650.OF,东方红稳添利,2016-05-13
002661.OF,兴业天禧,2016-05-09
002684.OF,民生加银鑫安纯债A,2016-09-09
002698.OF,博时裕利纯债,2016-05-09
002704.OF,德邦锐兴A,2016-06-03
002716.OF,博时裕通纯债3个月A,2016-04-29
002725.OF,中欧强瑞多策略,2016-05-27
002734.OF,泓德裕荣纯债A,2016-08-15
002736.OF,泓德裕和纯债A,2016-11-11
002740.OF,泓德裕泽纯债A,2017-05-24
002750.OF,工银瑞信泰享三年,2016-05-05
002754.OF,博时裕创纯债,2016-05-13
002755.OF,博时裕盛纯债,2016-05-20
002756.OF,招商招兴定开A,2016-05-18
002775.OF,博时景兴纯债,2016-05-20
002781.OF,博时聚瑞纯债6个月,2016-05-26
002795.OF,平安惠盈A,2016-06-03
002805.OF,浙商汇金聚利一年A,2016-08-01
002807.OF,融通通安,2016-07-21
002811.OF,博时裕顺纯债,2016-06-23
002817.OF,招商招恒纯债A,2016-06-08
002825.OF,融通通和,2016-11-02
002826.OF,中银永利半年,2016-06-21
002830.OF,浙商惠丰定期开放,2016-08-01
002832.OF,工银瑞信恒享纯债,2016-05-31
002858.OF,长信富平纯债一年A,2016-08-15
